frequency_ghz,cold_load,hot_load
0.056884766,436480062.828888893,444029780.763888896
0.057128906,436377753.269444466,443972768.888888896
0.057373047,436078327.795555532,443713260.241666675
0.057617188,435777624.574444473,443432147.748888910
0.057861328,435324090.891666651,443084368.343888879
0.058105469,434855049.018888891,442625925.555555582
0.058349609,434607876.930555582,442370923.507777750
0.058593750,434576985.488333344,442297617.983333349
0.058837891,434285240.573888898,442041542.851666689
0.059082031,433597563.472222209,441397988.946111083
0.059326172,431549068.872222245,439400619.841111124
0.059570312,427887929.338333309,435698583.466111124
0.059814453,435054203.389444470,444942793.976666689
0.060058594,446573059.631666660,459535953.622222245
0.060302734,412257419.812777758,419890128.082222223
0.060546875,405794426.015555561,412898675.875555575
0.060791016,402358135.994444430,409361901.744444430
0.061035156,399919421.616111100,406897847.980000019
0.061279297,398260238.426666677,405224186.245555580
0.061523438,397117041.753333330,404058139.336666644
0.061767578,396474165.365555584,403405565.097222209
0.062011719,396083651.718888879,403051746.814444423
0.062255859,396312916.193888903,403191666.019999981
0.062500000,396507789.170000017,403376231.197777748
0.062744141,395112292.728333354,401943947.295555532
0.062988281,393649422.761111140,400495530.870555580
0.063232422,392638625.358333349,399456539.826666653
0.063476562,391790227.252222240,398619529.776111126
0.063720703,391099403.467777789,397939234.620000005
0.063964844,390386034.041111112,397248004.668333352
0.064208984,389752185.530555546,396521351.050555527
0.064453125,389200159.854444444,395993609.431111097
0.064697266,388374210.456666648,395197122.474444449
0.064941406,387623377.052777767,394386805.970000029
0.065185547,387039119.770555556,393851145.263888896
0.065429688,386503069.110000014,393296431.231666684
0.065673828,386057469.492222250,392787698.373888910
0.065917969,385400898.786666691,392103895.991111100
0.066162109,384963396.142777801,391733653.062777758
0.066406250,385205955.721666694,391966046.218333304
0.066650391,384263557.988333344,391024348.882777750
0.066894531,383686654.459444463,390455984.072777748
0.067138672,383188771.993888915,389982682.095555544
0.067382812,382748966.406666696,389466441.155555546
0.067626953,382268767.209444463,388903205.178888917
0.067871094,381596797.128888905,388256630.676111102
0.068115234,380961339.343888879,387712276.689444423
0.068359375,380517392.032222211,387278186.412777781
0.068603516,379615798.542222202,386317083.591111124
0.068847656,378930899.176666677,385573120.889999986
0.069091797,378374437.043888867,385100811.270555556
0.069335938,377712774.954999983,384384254.850000024
0.069580078,376991819.139444470,383680763.325555563
0.069824219,383870173.854444444,390679608.483888865
0.070068359,391619783.532777786,398581781.291111112
0.070312500,376325009.906666696,382935902.180000007
0.070556641,373520824.031111121,380137595.549444437
0.070800781,372570306.298888862,379121344.268333316
0.071044922,371657950.434444427,378174203.280555546
0.071289062,370658333.761666656,377203871.823888898
0.071533203,369681084.147777796,376195915.110000014
0.071777344,368646367.981666684,375122102.043888867
0.072021484,367560411.083888888,374086775.407222211
0.072265625,366671433.692222238,373212874.589444458
0.072509766,365363558.972777784,371848651.705555558
0.072753906,364211055.588888884,370623981.470000029
0.072998047,363097256.144999981,369462826.718333304
0.073242188,361919237.324444473,368281006.089444458
0.073486328,360750572.388333321,367114057.211666644
0.073730469,359490333.172777772,365859393.513888896
0.073974609,358362808.521111131,364664923.494444430
0.074218750,357978996.032222211,364275032.483888865
0.074462891,356208898.782222211,362433778.407777786
0.074707031,354946684.084444463,361185362.693333328
0.074951172,353718036.521111131,359915859.610000014
0.075195312,352560761.216666639,358749938.942222238
0.075439453,351418883.632222235,357618530.710555553
0.075683594,350222294.972222209,356401736.462222219
0.075927734,349084738.808333337,355229100.473333359
